Method,Baseline,SHSEL,TSEL,HFE,GTD,Bottom Up
Accuracy (in %),42.2 (65.5),44.4 (79.1),44.4 (64.1),44.4 (-),51.1 (65.8),46.67 (52.8)
Compression,/,0.773 (0.985),0.75 (0.247),0.716 (-),0.243 (0.136),0.281 (0.770)
